Coluna (Sheets),Nome da Coluna (SSOT),Tipo (Sheets),Obrigatoriedade,Descrição
A,project_name,TEXT,NOT NULL,"Owner / Repo (formatado com espaços)."
B,repo_url,TEXT,NOT NULL,URL do repositório (canônica).
C,repo_version,TEXT,NOT NULL,Tag de release ou SHA curto usado na análise.
D,ultima_versao_online,TEXT,NOT NULL,Última versão observável na nuvem (tag/sha).
E,lote_id,TEXT,NOT NULL,Identificador do lote/bateria de execução.
F,data_ultima_analise,TEXT,NOT NULL,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ)."
G,analise_origem,TEXT,NOT NULL,Assinatura do motor/fluxo que gerou a linha.
H,licenca,TEXT,NOT NULL,Licença SPDX (quando disponível).
I,stack_base,TEXT,NOT NULL,Stack detectada (string/bullets) para auditoria.
J,declared_description,TEXT,NOT NULL,"Descrição declarada (PT-BR quando disponível). Limite elástico: ~2000 caracteres."
K,lente_a_sentido_prod_ux,TEXT,NOT NULL,Lente A normalizada (bullets).
L,lente_b_estrutura_arq,TEXT,NOT NULL,Lente B normalizada (bullets).
M,lente_c_realidade_ops,TEXT,NOT NULL,Lente C normalizada (bullets).
N,proposta_original_resumo,TEXT,NOT NULL,"Resumo técnico neutro (Bloco 1). Limite elástico: ~3000 caracteres."
O,visao_do_enxame,TEXT,NOT NULL,"Síntese dialética das 3 lentes (Bloco 2). Limite elástico: ~3000 caracteres."
P,justificativa_decisao,TEXT,NOT NULL,"Justificativa da decisão (Bloco 2). Limite elástico: ~3000 caracteres."
Q,executive_verdict,TEXT,NOT NULL,"Veredito executivo (Bloco 2). Limite elástico: ~3000 caracteres."
R,risco_principal,TEXT,NOT NULL,"Risco principal (idealmente frase curta). Limite elástico: ~3000 caracteres."
S,risco_linha_vermelha,TEXT,NOT NULL,"Restrição de linha vermelha (imperativo). Limite elástico: ~3000 caracteres."
T,observacoes,TEXT,NOT NULL,"Observações/ressalvas. Limite elástico: ~3000 caracteres."
U,ouro_a_extrair,TEXT,NOT NULL,"Ouro a extrair (Bloco 3). Limite elástico: ~3000 caracteres."
V,deep_pattern,TEXT,NOT NULL,"Padrão profundo (Bloco 3). Limite elástico: ~3000 caracteres."
W,transplantable_core,TEXT,NOT NULL,"Núcleo transplantável (Bloco 3). Limite elástico: ~3000 caracteres."
X,logic_math_heuristic,TEXT,NOT NULL,"Heurística lógico-matemática (Bloco 3). Limite elástico: ~3000 caracteres."
Y,real_structural_problem,TEXT,NOT NULL,"Problema estrutural real (Bloco 3). Limite elástico: ~3000 caracteres."
Z,categoria_nuance_tecnica,TEXT,NOT NULL,Categoria/nuance técnica (Bloco 3).
AA,integracao_papel_exato,TEXT,NOT NULL,Papel exato da integração (Bloco 3).
AB,must_components_prod_ux,TEXT,NOT NULL,"Lista (bullets) de componentes de Produto/UX. Limite elástico: ~3000 caracteres."
AC,must_components_arq,TEXT,NOT NULL,"Lista (bullets) de componentes de Arquitetura. Limite elástico: ~3000 caracteres."
AD,must_components_ops,TEXT,NOT NULL,"Lista (bullets) de componentes de Operações. Limite elástico: ~3000 caracteres."
AE,detected_toxic_deps,TEXT,NOT NULL,"Lista (bullets) de dependências tóxicas detectadas. Limite elástico: ~3000 caracteres."
AF,do_not_absorb,TEXT,NOT NULL,"Lista (bullets) do que não absorver. Limite elástico: ~3000 caracteres."
AG,where_ai_should_not_enter,TEXT,NOT NULL,"Restrições imperativas (zona proibida para IA). Limite elástico: ~3000 caracteres."
AH,classificacao_terminal,TEXT,NOT NULL,Enum terminal humanizado.
AI,acao_de_canibalizacao,TEXT,NOT NULL,Enum humanizado da ação de canibalização.
AJ,categoria_arquitetural,TEXT,NOT NULL,Enum humanizado da categoria arquitetural.
AK,horizonte_extracao,TEXT,NOT NULL,Enum humanizado do horizonte de extração.
AL,tipo_integracao,TEXT,NOT NULL,Enum humanizado do tipo de integração.
AM,capability_nature_primary,TEXT,NOT NULL,Enum humanizado da natureza primária da capacidade.
AN,architectural_topology,TEXT,NOT NULL,Enum humanizado da topologia arquitetural.
AO,temporal_stability,TEXT,NOT NULL,Enum humanizado da estabilidade temporal.
AP,bare_metal_fit,TEXT,NOT NULL,Enum humanizado do fit bare-metal.
AQ,extractability_level,TEXT,NOT NULL,Enum humanizado do nível de extraibilidade.
AR,runtime_sovereignty_fit,TEXT,NOT NULL,Enum humanizado da soberania de runtime.
AS,local_first_fit,TEXT,NOT NULL,Enum humanizado do fit local-first.
AT,adoptability_level,TEXT,NOT NULL,Enum humanizado de adotabilidade.
AU,longitudinal_sustainability,TEXT,NOT NULL,Enum humanizado de sustentabilidade longitudinal.
